<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AGRO;D;20150402;000000;340.1500000;354.9000000;340.1500000;354.9000000;11
AGRO;D;20150406;000000;338.0500000;379.9500000;338.0000000;379.9500000;101
AGRO;D;20150407;000000;365.0000000;365.0000000;348.9000000;349.8500000;2.471
AGRO;D;20150409;000000;364.9500000;375.0000000;340.0000000;375.0000000;2.671
AGRO;D;20150410;000000;360.0500000;384.9500000;360.0500000;377.1500000;271
AGRO;D;20150413;000000;360.1000000;384.0000000;360.1000000;380.0000000;152
AGRO;D;20150414;000000;371.0000000;384.9500000;371.0000000;384.9500000;164
AGRO;D;20150415;000000;365.0500000;405.0000000;365.0500000;405.0000000;1.486
AGRO;D;20150416;000000;390.0000000;390.0000000;375.0000000;389.9500000;4.026
AGRO;D;20150417;000000;374.9500000;380.0000000;360.4000000;380.0000000;1.675
AGRO;D;20150420;000000;409.9500000;434.9500000;376.0000000;413.0000000;1.637
AGRO;D;20150421;000000;425.0000000;444.9500000;399.4000000;444.9500000;3.553
AGRO;D;20150422;000000;429.5000000;429.5000000;410.0500000;410.0500000;10
AGRO;D;20150423;000000;405.0000000;405.0000000;390.0000000;405.0000000;1.078
AGRO;D;20150424;000000;430.0000000;434.9000000;419.9500000;419.9500000;123
AGRO;D;20150428;000000;430.0000000;444.9500000;425.0500000;429.7500000;204
AGRO;D;20150429;000000;441.0000000;444.9500000;400.3500000;424.9500000;814
AGRO;D;20150430;000000;444.4000000;454.9500000;381.0000000;454.9500000;1.243
AGRO;D;20150505;000000;447.0000000;448.0000000;434.0000000;447.0000000;31
AGRO;D;20150506;000000;443.0000000;443.0000000;418.0000000;419.0000000;22
AGRO;D;20150507;000000;424.0000000;424.0000000;424.0000000;424.0000000;1
AGRO;D;20150508;000000;424.0000000;424.0000000;403.0000000;419.0000000;923
AGRO;D;20150512;000000;433.0000000;434.0000000;431.0000000;431.0000000;14
AGRO;D;20150513;000000;440.0000000;440.0000000;436.0000000;439.0000000;12
AGRO;D;20150514;000000;444.0000000;444.0000000;443.0000000;443.0000000;12
AGRO;D;20150515;000000;443.0000000;444.0000000;443.0000000;444.0000000;135
AGRO;D;20150518;000000;434.0000000;465.0000000;401.0000000;429.0000000;2.218
AGRO;D;20150525;000000;401.0000000;444.0000000;401.0000000;434.0000000;1.307
AGRO;D;20150526;000000;460.0000000;475.0000000;436.0000000;436.0000000;5.260
AGRO;D;20150527;000000;443.0000000;454.0000000;443.0000000;444.0000000;687
AGRO;D;20150528;000000;444.0000000;454.0000000;444.0000000;454.0000000;132
AGRO;D;20150529;000000;449.0000000;449.0000000;448.0000000;448.0000000;35
AGRO;D;20150601;000000;459.0000000;463.0000000;459.0000000;463.0000000;17
AGRO;D;20150602;000000;460.0000000;475.0000000;460.0000000;473.0000000;160
AGRO;D;20150603;000000;475.0000000;475.0000000;460.0000000;460.0000000;166
AGRO;D;20150604;000000;479.0000000;479.0000000;470.0000000;470.0000000;54
